sentence,label,dataset
还没用，不知道\n这个要看自己家里架子结构的\n,1,jd
店家发的货不是我预定的款式，缺少货源，还告诉我有货，结果发过来的不是我想要的，用起来还可以吧，算得上结实了。,0,jd
脱色严重，应该是去年的产品,0,jd
瑕疵太明显，拿去鉴定，一会追加评论！,0,jd
写的是存200得500，实际上拿到卡号话费为零。找客服后才把200补齐，但是返300就不知所向。问联通客服说让找京东客服。再次尝试找京东客服：1.发邮件没反应，xuyuanyuan@jd.com是京东客服留下的，说还有问题发邮件。2.投诉直接被删掉。3.预约客服电话失败。你们就是这样失去客户的！,0,jd
很不错，质量挺好的，穿着蛮舒服,1,jd
这本书缺货等了很久，书也是灰扑扑的，质量还可以，内容也是浅显，适合初级者。,0,jd
*一天的价格到处都是，糗大了,0,jd
实物和颜色差很多，客服一直车轱辘话，不承认，换货还要自己付运费，写的北京发货，山东发的，问客服客服一直说是的，山东发货的。太差劲的客服。,0,jd
东西一般。送的东西和不符,0,jd
很好看，穿起来也可以，不磨脚，,1,jd
正品很舒适值得推荐给大家,1,jd
画的有意境，神话、童话演绎的出神入化。好看！,1,jd
质量很好，颜色没有图片那么红，总的来说很好，价格便宜,1,jd
很好的卖家，东西质量好，还送实用配件，赞一个。就是盒沒有说明书和保修卡可能验货时忙了放入吧!,1,jd
安装工人很负责人，都给调试好了,1,jd
千万不能买，根本不值,0,jd
给人的信誉不好，运费出了快递还要在收钱,0,jd
加了的小朋友都很喜欢吃，一次买了很多，就只是店家不变通，我们家都有几个酸奶机了，但是他都不能把酸奶机改为酸奶，但是总体服务还是不错，赞赞赞,1,jd
此品只能做小孩玩具!,0,jd
质量太不满意，并且还乱发货。完全与上面说的是两个样,0,jd
音色很好，价格比较划算，挺好的，非常满意,1,jd
适合考前练练笔。应试用。,0,jd
明明是正版的！但是和书店里的书全彩页的不同  这本书里面一半都是黑白的   有些图根本不能看，没对比的  太傻了,0,jd
颜色有些差别   质量还可以  ，,1,jd
1.不实用，小日本营销有一套\n2.一点用都没有，练多了就变斗鸡眼了\n3.适合0-6岁小朋友阅读,0,jd
书印花了！！！！,0,jd
这个字帖不错，既可以练字，还可以看看宋词,1,jd
虽然等了很久有些不爽，但是收到宝贝试了下，感觉还不错，挺舒服的，还是给个好评吧！继续完善吧，物流上，差点误事呢,1,jd
这个膜是5.5的么 小了一圈啊,0,jd
裤子己收到，看上去还好,0,jd
书买了，儿子没怎么看,1,jd
和实物差别太大,0,jd
原厂配件，包装挺好。,1,jd
今天终于收到货了，整整用了10天啊！这叫什么快递啊，简直就是慢递啊！感觉此包还不错。,1,jd
看了半天还是相信西门子这种大品牌,1,jd
根本没反应。申请退款也被拒绝，无语。,0,jd
很方便，但音质差点。,1,jd
。。。。。。。不错，擦，十个字,1,jd
买的椒盐的，结果是浓浓的奶油味，很讨厌这种浓浓的食品添加剂的味道。。,0,jd
"夜光豆不太好用,还待考证",0,jd
质量很差，一次没穿就扔掉了，垃圾,0,jd
书很好，值得一看。快递送货很及时。,1,jd
这垃圾桶真心不好，底不平，放不稳,0,jd
衣服洗了还发毛，太差了。,0,jd
性价比极低！破塑胶块卖40多真是上当了，对京东商城也失去信心了，这么烂的东西也让放上来！！还不如给孩子买的塑料垫子呢！如果说只是认为不值就差评，那算我小心眼！关键这东西完全没用！@！放上垫子以后跑步机会明显的抖动！！原来直接放在地上跑步机根本没有这情况！而现在抖的都不行了！！完全无法正常使用！要买的亲们注意了！别买这种垫子！,0,jd
拉链坏的，换货中,0,jd
试卷内容错误不少，根本没法儿用，要知道，这是教辅材料呀！,0,jd
质量太次了，杯盖竟然拧不紧，厂家出厂是怎么做的出厂合格检查的呀，配送出奇的慢呀慢呀的。坚决退货，望退货款会回的快快滴！！！,0,jd
满意个屁什么破玩意根本充不进电垃圾都别买了骗子退货还得自己拿运费大骗子,0,jd
不好吃啊不好吃啊不好吃啊不好吃啊不好吃啊,0,jd
玫瑰花很好看，质量非常好，卖家服务态度非常满意！还会光顾！,1,jd
东西寄回来是坏的，给他们退回去三周了物流已经到了，他们却说没收到，地址电话都是他们给的又不可能寄错地方，给他们打电话店店里的人都不接，发消息也不回，不知道是真的眼瞎还是真的耳聋到现在为止还是不接电话，我觉得这家店就是骗子，想骗钱，亲们还是别在这家店买了，他们就是想骗钱，不要上当受骗啊，我就当我的钱给他们买棺材了，买药吃了，不要受骗啊亲们,0,jd
用它来帮宝宝洗澡确实会方便很多，但是宝宝身体泡不到水里，所以夏天用会更好，冬天用的话怕会冷到。,1,jd
太小又太贵，后来我去市场买，才1毛钱一个，还是大号的，可以装包烟,0,jd
没收到货，草，吗的,0,jd
质量很好哦，不起球，面料很舒服.,1,jd
儿子很喜欢，感觉不错，还行，性价比很高！值得购买！,1,jd
还不错，挺实用的吧。。。,1,jd
这价钱就这样，凑合吧！,1,jd
钱岀了   货没到  什么意思 ？？？？,0,jd
非常没有。。。。。。。。,1,jd
女儿收到很高兴 穿上特别漂亮，照镜子高兴了半天，我检查了下质量和做工都不错。,1,jd
鸣人他们完成任务回到村子，卡卡西推荐他们参加即将举办的中忍考试。考试会场中强手云集，而在考试过程中，鸣人他们遭到原属木叶忍者村、已经叛离村子的大蛇丸的攻击，佐助也被大蛇丸在身上留下了咒印。之后，鸣人和佐助顺利通过预选赛，并为即将到来的正式考试作准备。鸣人得到木叶三忍之一的自来也传授忍术，而佐助则是受到卡卡西的专门指导。但与此同时，大蛇丸正在暗地里酝酿着阴谋，那就是联合砂忍者村一同袭击木叶。鸣人在正式考试的第一场击败了人称天才的日向宁次，向大家证明了自己的实力。但在考试中途，音忍和砂忍们开始向木叶忍者村发动攻击，考试也被迫中止。大蛇丸向第三代火影发起挑战，在一场激战过后，第三代火影战死，而大蛇丸也付出了失去两只手臂的代价，被迫撤退。鸣人则与砂忍者村派来的&ldquo;兵器&rdquo;我爱罗交手，并打败了我爱罗。,1,jd
鞋子收到了 大小刚刚好 做工很仔细 款式很大方 也没有色差 非常的满意,1,jd
垃圾产品刚收到负耳机都是烂的，,0,jd
还可以，什么价钱什么货！,1,jd
有股淡淡的味道，不错，清洁效果好，使用放心。,1,jd
这是给家人买的 挺不错的 老人说带着舒服 好评 ,1,jd
图片与实际商品不相符合，望商家实践求实拍图片,0,jd
不错，快递速度点赞哦,1,jd
太小的，好像不是我想要的那种哦。\n,1,jd
很好很好很好快快活活,1,jd
很好看，立体切割，半透明，很大气，运送过程等过关等了好久。其余都好,1,jd
安装挺费力，得摸索。质量挺好的，起步速度很快。,1,jd
烂东西，不让退货，鄙视,0,jd
包包不错，特别喜欢，做工精细！朋友还想让我代买一个！下次还会光临哦！,1,jd
这个包是我为了凑单不得已买的的，*，很失望，首先太小，其次质量很差，很单薄，*的东西，诶呀呀,0,jd
鞋型很好看，比较经典，走起路来脚底很静音，主要是皮革太硬，鞋舌头磨脚脖子?,1,jd
已穿，质量还是不错的,1,jd
盖没有拧紧，洗发膏有些粘在盖子的周围；打开盖子里面应该有一层包装，防止洗头膏流出。这个却没有，及其怀疑其品质。,0,jd
质量非常不错，没有色差。穿起来超舒服。这个价格很实惠，,1,jd
东西不错可以可以可以哈,1,jd
卷寿司不好用，只能用作切寿司,0,jd
一共12本，我还差一本，第一册！！！,0,jd
总体还行，价格实惠，就是设计上有点小缺陷,1,jd
真的不错  做工可靠  孩子很喜欢 物流也给力,1,jd
蛮好用的                  喜欢                  ,1,jd
\n亮度不错灯泡不错穿透力好,1,jd
使用感觉不错   还没进过水,1,jd
皮质不错哦，是真皮的呢、,1,jd
太贵了，现在都是办卡送的,0,jd
商品给我发错货，我当天就寄回去了，要我在客服里面催了4次才给我补发货，而且还是收到货后一周之后才给我补换货。等了一周也就算了！发回来的货竟然没有茶壶！客服一会说我没有寄茶壶回去，等我提供图片证明全套产品都寄回去了才说会给我安排补发。又要我等一周吗？买个喝水的要花大半个月时间有意思吗？跨越太平洋买的东西都到了吃完啦！网购七八年 第一次给这么失望透顶 ！,0,jd
很结实的样子，有点分量啊,1,jd
垃圾东西买回来就是坏的！大家千万别买！买了就上当！说的挺好！其实就是垃圾东西！买完就后悔！以后在也不会来这里买衣服！京东竟然有这样的垃圾东西！一颗星都不想给！奶奶的！垃圾,0,jd
默认竟然是36码,0,jd
不是很好，没什么用，建议,0,jd
要我说真是一颗星都不情愿给，物超所值不说，质量超级不好，入手2个月不到，又没有摔，已经坏2个花瓣了。奉劝打算入手的朋友要慎重呀！,0,jd
质量好，价格不贵，还可以，同事说不错。,1,jd
十一a、鹰形\n第六a章\n明末有绿林强盗经常入农庄抢劫，姬隆风（姬际可，山西蒲城人）不敌，全家邂b难于终南山b，时得道人孙齐云先师薪传拳c术，并赠以岳飞的武穆拳谱。姬公习后武功大进，回蒲城大败强盗，诛d杀盗首，d得武林人士敬仰。姬公传曹继武和马学礼及子姬寿，马学礼传河南一支，曹继武传山西e祁县戴龙邦、e戴陵邦兄e弟，戴氏兄弟f复传戴文英、戴文雄（二闾）兄弟及河北深县李洛能。戴龙邦传于山西祁县g的称为六g合拳或心意六合拳，用的也是侧身弓箭步，但在技法上都强调了意识、呼吸、劲力和动作的内外相合h。以丹田为本，以意领i气，手脚相合，攻防一体。动作从自然轻松人手，由慢而快，逐步练出内外合一的内劲j来。这种内j劲发自丹田，运至周身，具有实效的爆发劲。从这些技法要领来看，戴龙邦由重视动作和招法的传统拳术中已转l向对内意、内劲、神和气的运l用。这一较大的转折，是戴龙邦先生的伟大贡献。\n张世杰，男，19m46年生。12岁跟父n亲的挚友霍梦魁n习武练功，1962年随夏英久、兰树铭学摔跤，曾多次获得优秀成绩o。1965年随刘清泉、杨俊秀、傅剑飞等习练拳击、绵拳、形意拳、八卦掌等实战技击，在20世纪70年代p就有&ldquo;小胜英&rdquo;之称。1983年拜辛健侯q的掌门徒张国良为师，潜心学习尚派形意拳械；并经李文彬和孙剑云老先生的指点r，掌握了形s意拳发力、变劲、s换位取胜三要素。\n四、崩拳\n第三章\n一、浑元桩\n形意拳套路\n第二节\n第三节\n第四节\nt鹰捉十三式\n十t二形套路拳\n四、鸡形\n七、鹞形\n九、蛇形\n十一、鹰形\n形意拳u器械\n二、摇转刀\n四、连v环枪\n六、白v猿九棍\n形意拳实战\n师承表\n形意拳溯源\n&hellip;&hellip;\n10条\n￥23.40(7.8折w)\n海洋里的巨无霸\n(100%好评)\n形意拳溯源\n形意拳基础\n二、劈拳\n五、炮拳\n第三章\n一、浑元y桩\n三、内y功练法\n第一节y\n第三节\n十二拱锤\n鹰捉十三式\n十二形套路拳\n二、龙形\n五、燕z形\n七、鹞形\n九、蛇形A\n形意拳器械\n二、摇转刀\n四、连环枪\n七、鹿角梳子镢\n形意拳实战\n师承表\n&hellip;B&hellip;\n10条\nB赵堡太极B秘传兵器解读\nC(100%好评)\n(100%好评)\n1991年始，组织并担任形意拳研究会秘书D长、常务D理事、会长等职。现为为尚派形意拳第三代沈阳掌门人。多次率队参加国际、国内形意拳EG交流大会，并取得了好成绩。多年来，在全国武术刊物上陆续发表文章。现今弟子除西藏、新疆、之外已遍布国内各地，再传G弟子也超百人，为尚派形意G拳的发展作出了努力。\n形意拳基础\n五、炮拳\n第三章\n一、浑元桩\nH第一节\nI第二节\n出I洞入洞\n十二拱I锤\n鹰捉十三式\n十二形套路拳\n五、燕形\n七、鹞形\n十、形\n十二、熊J形\n三、J连环剑\n五、武穆十三枪K\n七、鹿角梳子镢\n形意拳实战\n南宋爱国名将岳飞在朱仙镇大破金兵，金兀术被打败北逃，岳飞也正欲乘胜直捣黄L龙府救回徽、钦二帝以雪国耻，此时金兀术派人找曾被俘后被赵构任为宰相M的秦桧。秦桧也说服N宋皇赵构与金讲和，赵构怕岳飞打到黄龙府，真要救回徽、钦二帝自己皇位不保，于是在1411年就O用12道金O牌将北进的岳飞P调回杭州，并派秦桧（奸相）与金国谈和。金国的谈和条件，P&ldquo;要讲和必杀岳飞&rdquo;，赵构与秦桧以&ldquo;莫须有&rdquo;的罪Q名，将岳飞与儿子岳云、女婿张宪入狱一年多后在风波亭杀害。20年R后，赵构、秦桧相继死去S，宋孝宗继位，S查出秦桧叛徒、奸细的行径，将其掘墓扬尸，也为岳飞、岳云、张宪三人平反，并追封岳飞为&ldquo;武穆T&rdquo;。岳飞在狱中一年多的时间里，自认为无罪，虽然枪、剑都被没收，但每天仍以拳徒手习武，练V习体会枪的路子，从而悟出了不拿大枪而又近似枪术的武功&hellip;&hellip;岳飞将此拳术写成书W，后来知其不会被释放，便托W其狱卒将书X带走留给后人。X因狱卒怕奸相秦桧追杀，远逃至终南山，并将遗书送给终南山道观的道Y人。因岳飞所练为六合枪法Y，其拳法也取名六合拳。终南道人久练有健身强体甚至返老还童之功Z效，且具战无不胜之功用。,1,jd
超喜欢，还想再买一件,1,jd
不错，和我在实体店花90元买的质量一样好，音量键，锁屏键都贴合的非常好，最重要的是实体店买的没有下面的防尘塞，而这个自带防尘塞，非常好,1,jd
大品牌用的放心，还不错,1,jd
不好看，纸质不好，便宜没好货,0,jd
壶挺好，精致小巧，但是底下的木质小茶海实在质量太次，裂了好几个口子，有的口子还裂的特别长，我都服了，出厂就不能检查一下吗？！,0,jd
刚用半个月不到，即出现无法接电话的问题，等待售后中&hellip;&hellip;,0,jd
7天无理由退换？？算了吧，还是写清楚，&ldquo;未使用且不影响再次销售，7天无理由退换&rdquo;，别说的跟真的似得，忽悠我们消费者。\n忘了买底座，等着熬药，产品说明上写的可以明火使用，然后用了天然气煮药，因壶太小，冒出来一部分药液，遇火后，底部黑了大概1/5，砂纸打磨一下就回复正常了，想换个5.2L的，客服以底部黑了为由一口否决，连个折中的办法也不行，既然这样，怎么不在产品说明里讲清楚！！！！现在就是废壶一个！,0,jd
时尚大方，穿着舒适，质量很好，无色差！会再来,1,jd
买了六个，好看，白亮,1,jd
快递迅速送货上门方便是正品,1,jd
很假！穿着一点都不舒服，最好不要买,0,jd
很好 味道还是有,1,jd
不错，拿在手上感觉很好,1,jd
质量挺好的，还会光顾的。,1,jd
不满意，袖口开了。,0,jd
鞋子有点难看，跟船一样！,1,jd
做工粗糙，图片上是红嘴巴实物确实粉红色，不好看！表面上的布根本蹦不平整，全是皱的！不管别人的怎么好，我拿到的就是劣质的很！差差差！,0,jd
多次购买了，质量不错。晚上不漏。,1,jd
衣服收到不是怎么喜欢有点差别。快递员的态度很好? ? ?,0,jd
注释详尽，我是当作古典文学入门书籍买的。,1,jd
不说怎么样吧。不是自己收的。只想说太慢太慢，明明写的情人节当天到的。如果这能算违约多好&hellip;&hellip;,0,jd
"不好吃,感觉不是很脆",0,jd
百润 Bairun 高档合金核桃夹 干果钳 ZR851非常漂亮 做工精致 就是还长点就还,1,jd
太烂了，奶粉都无法溶解，结成一块块的黏在奶瓶上，跟我以前买的特福芬的一段差太远了，也是京东买的质量怎么差这么多！假货吧，以前那个一段都是瞬间溶解，这个怎么晃都不溶解。。,0,jd
我用花印许多年，但是这款面膜是第一次买，收到的是货只有半瓶。有咨询售后，除了一再要求我自己去称重，就是一再说份量是足的，甚至是说快递的问题。面膜没有溢出来，但是真心只有半瓶，以后不会在这家买了，不仅是收到半瓶货的问题，更是售后的态度，实在让人无语。,0,jd
我买的是蓝宝色，什么送黑色的包包给我，生气生气，你们什么搞的，不会相信你们了,1,jd
制冷时声音稍微有点大，其它没问题,1,jd
赠品要求不能太高的，一般般！,0,jd
做稀饭不错，做排骨猪蹄很好。做米饭差点。,1,jd
收到的时候大大出乎我的意料，非常的棒，很喜欢。做工非常精细，鞋子里面和内衬都很精细。穿起来非常舒服，走起来也不累。,1,jd
很有用的一本书。看了好几盘。,1,jd
性价比很高的图书，活动也很好,1,jd
戴上面罩跟外星人似的。最糟糕的是刺脸，因为里面有层防辐金属网，而贴面的那层布料又薄又不够柔软，所以皮肤被刺得很难受，如不加以改进，这东西根本不可购买。,0,jd
挺好的，质量不错，大小合适，很喜欢。    ,1,jd
质量太差了，一直掉丝丝。,0,jd
出货速度太慢。,0,jd
很好看，相当超值很划算,1,jd
有点不适合我家孩子玩 太难了拼装,0,jd
第一感觉不是真皮皱巴巴的，跟前在实体店买的跟本不一样，想退货又太麻烦了，不能去网上买这种皮衣了,0,jd
这个面，越吃越不好吃，最后一箱吧，买一箱子方便面，就送一根火腿肠，知道卤蛋，抠门到家喽,1,jd
看完之后你离成功越来越远。,1,jd
不错的书，质量很好，内容通俗易懂,1,jd
真的是盗版 我有一本想买一本放学校 京东买的真的是盗版 书页发灰 正版纸硬而且白 真不知道新东方怎么允许京东卖的 讨厌 快退款,0,jd
真心不怎么样。。。很皱，拉链不光滑，扣子很紧，感觉用不了几次就会坏。。。看着像路*,0,jd
还行吧，这些书就这样的还行吧，这些书就这样的,1,jd
鞋子比平时穿的买大2码还是有一点点小 也可以说刚刚好一脚 一走动就觉得鞋子小了点 样子看上去显廉价 还好走路很轻 准备带去旅游在海边上穿穿  这质量不知道能穿几天 舒适度还行  就是客服不好 说有好评返现的 我问返到哪里 以为是* 突然想起来京东不是走*然后就看见客服不见了 不理人了 京东老板跟*是对抗的 那就是说一提到*就拉黑喽？？  安逸  京东客服最牛X 一直在桃宝买东西 每次在京东买东西都要重新把钱从*银行卡 再付款 最近突然转换个心情 在京东买东西  遇到这种服务我也就呵呵了 一颗星给你们的服务 ,0,jd
感觉质量不怎么样，估计用一次就没用,0,jd
书很好，值得买！,1,jd
衣服上身非常漂亮，质量没的说，好好好,1,jd
非常漂亮的一款鞋子，质量款式都很好，穿上很舒适百搭，店家服务态度非常热情，不错值得推荐！,1,jd
买这块显卡 就是用来升级老电脑玩LOL 的，速龙*2 240 处理器，金士顿4G内存，带这块显卡刚刚好，玩lol 高特效  泉水FPS130\n团战7-80   总体来说还是很满意的   毕竟老机器了  原来的 GT210被我扔了\n显卡很静音  买的时候领的券 减了20元,1,jd
包装很精美，过年买来送人的，很不错，比超市便宜多了。,1,jd
送货很快，包装完整，挺喜欢的说，哈哈。,1,jd
产品和图片以及描述不一样，不是纯棉而是纤维涤纶产品！怀疑真伪 奉劝消费者还是不要购买的好 毕竟是给宝宝用的东西,0,jd
很有眼缘，店家服务一级棒，送的小礼物也很爱！,1,jd
质量不错，枕套够大。,1,jd
完全不能用，并且京东也不负责联系金史密斯！打电话也不接，预约了维修工人到时间也不来！真是对京东彻底失望！！！,0,jd
好！好！好！买吧买吧！！！！,1,jd
这本书是考据的研究的书。\n希望探究的人，会认为是好书。,1,jd
断章取义的西方哲学。,0,jd
宝贝质量很好，做工不错，与店家描述的一样，价格实惠 ,1,jd
皮带是真皮，满意！,1,jd
给外甥女买的，现在5岁的样子  书的插画很好看  还可以学拼音，寓教于乐了,1,jd
不合身   差评！！！！！老姐穿着不合身    奇怪,0,jd
买少了，还真是不错，穿着舒服,1,jd
不是正品，没有精华液,0,jd
刚买，还没有开始看，很期待,1,jd
商品与图片不相附,0,jd
色差太大，买来直接丢了,0,jd
物流太慢了，等了五 天啊！衣服的领口边边起线严重，送缝纫部修了才能穿。感觉买亏了！,0,jd
毛巾很好，是纯棉的，柔软吸水性好，颜色鲜艳，儿子喜欢.,1,jd
舒服。。。。。。家人很喜欢。。。。,1,jd
洗完都变了，一分价钱一分货呢?,0,jd
2月5日下单，17日送到，在市中心，这也叫211吗？？？,0,jd
跑步机非常的好 之前给爸妈买了一台 家里天冷他们也不用出去锻炼了 在家里就能锻炼身体 喜欢的不得了 叔叔见了说也想要一个 就给叔叔也买了一台 很是不错 叔叔说很好 很实用 很重的呢 还可以调节速度 跑的累了 就速度慢点 喜欢的不行 而且不得不说京东五六是特别快的,1,jd
好书！值得收藏！就是书皮有黑的印。,1,jd
样式不好看，做工粗,0,jd
从来没有买到过这么歪的衣服，严重起球，穿这么多海澜之家的衣服就这件最不爽,0,jd
价格贵，东西差,0,jd
我不算胖，但是穿着这裤子实在太危险了，好怕里面的线会崩开,0,jd
还好 快递给力 东西还没用过,1,jd
有臭味，洗完后味道变腥味，本来想退的，后来觉得麻烦洗净了会没味道，谁知道洗了后一股腥味、真是没法穿，总之最差的一次网购,0,jd
还是差！还是因为快递,0,jd
用了几天，感觉还算可以.,1,jd
此次购物非常的不愉快，京东的售后就是不断的推卸责任，把责任推卸到消费者身上。我于12月12日下单购买此奶粉，此后一直在关注物流状态，每次都是&ldquo;正在出库&rdquo;状态，直到12月19日，还是如此，我有点着急了，因为宝宝快断奶了，所以第一次联系客服，客服给我的答复是海外购需要20-30天的物流时间。这样的话，我只能退货了，因为状态还是&ldquo;正在出库&rdquo;，客服给我的回复是退货已提交，大概12个工作日内会把款汇到我的卡上，我感觉客服的效率真是不错。所以我马上换购另一款奶粉，物流最多3天就能到，事实也是如此。可是令我意想不到的事情发生了，12月24日快递给我打电话，让我取快递，因为我在上班，故快递放物业办公室了，我也不知道是啥东西，我以为是家人给宝宝买的玩具之类的，可是没想到的是箱子里装的是我退订的奶粉，我有点急了，马上登录京东看一下，京东的物流状态还是&ldquo;正在出库&rdquo;，愤怒啊，我立马联系客服，最终的结果是高级客服跟我联系，他们从后台把状态调整完之后，让我自己申请&ldquo;退换货&rdquo;流程，我还是照样做了，得到的答复是食品类的商品不退换货，？？？？这是什么话啊，这是我造成的吗？现在奶粉还放在家里，宝宝吃的是我后订的奶粉，不能混着吃啊，？？？？？,0,jd
该书还是挺实用的。。。,1,jd
烂货，根本不是说的那样，。,0,jd
外套图案还可以，但里面的棉发黄，看起来像次品。棉还是破洞的。,0,jd
快递稀烂，东西到了也不打电话。还是我自己主动打电话过去问的。,0,jd
\n非常好，质量很好，价格也便宜。,1,jd
和红红火火和红红火火好和红红火火,1,jd
不要买 特别不好,0,jd
颜色很难看&hellip;&hellip;比想象的大,0,jd
不好，太容易坏了，装在车上没多长时间就漏油，不能用。不建议购买。,0,jd
快递速度还可以。书本的纸张一般般，特别毛糙。最可气的是书中有很多是空白页，根本无法阅读，缺页非常严重，上当受骗！,0,jd
袜子不错，就是有点起球！,1,jd
这这头不是决明子的，是荞麦皮，商家是骗子,0,jd
买不锈钢盆送的，质量优，好评 　,1,jd
买把，谁买谁后悔，这个牌子,0,jd
鞋子的质量太差了，就是用朔料做,0,jd
垃圾！地毯小的很都不到边，申请换货了又给我自动取消申请！还不去实体店选购！提醒大家别上当！,0,jd
学材料力学的最佳参考书之一，向大家推荐。,1,jd
给孩子用的，应该还可以～,1,jd
煲汤煮粥挺好的，但是往外倒的时候就不太方便,1,jd
会起球，一点都不好穿，一次性的,0,jd
真的很不喜欢。。。。。。,0,jd
拍下M码，快递L码给我，做事太不负职任了。衣衣也没有想象好。差评,0,jd
颜色是西瓜红色，名副其实，绒情哑光，不错之选，很喜欢,1,jd
